element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.317907012350069,78.76415940095562,29.854166363823104,-6176.514418017399,-108506.2966850867,-80759.82050498603,191709.45690231185,-274294.06522047933,1360836.6544749546,-1484173.0086620054,-31239.61564267031,1319969.9926965856,-32589.92262144387,-9425.547828476207,126970.85856223815
2,0.3487003680737903,81.22750732970916,29.854166366035376,6616.040143797138,-67194.76381515933,-39979.40450426783,-195811.81618895428,-167800.41096405758,-1364043.3061083467,-1429392.3900313047,-19074.33978395484,1347908.6016396296,-32345.005956618967,-8868.127707381562,130707.44834693536
3,0.3178419022064504,78.75895150858037,29.89583281168174,-8620.49209123219,-109968.46007845331,-94446.35503213665,193225.200321688,-192860.68872752017,981398.3710369203,-1108474.910119331,-35401.711938054534,930841.3148555635,-30163.67026624051,-13550.279234042615,127884.64828712583
4,0.34876550898627956,81.23271522235444,29.895832813041633,10986.552716410448,-61735.755898159725,-26625.232436019738,-197288.16419430004,-115139.58094235293,-982790.7834736534,-1040491.1490787584,-15602.136237815139,978718.849698805,-29603.2161155056,-12799.325486443391,131570.9890974116
5,0.3177767909574134,78.75374349990473,29.937499509111216,-7628.069093099777,-108688.19517297791,-93273.61935709872,194870.40412936325,-115811.53414838808,594639.4221074416,-723945.4640789963,-37914.62672454209,552270.2071803621,-27051.1525367877,-16601.87549962273,128590.90522706558
6,0.34883064806803493,81.23792310641255,29.937499509863027,11555.408119852355,-60734.90587594701,-27263.28399644157,-198921.43073696268,-66481.67617332736,-594548.3575665435,-661140.5208515107,-17068.02418287983,601765.7632818543,-26591.730475531476,-15877.060177072179,132272.85367118128
7,0.317711678323824,78.74853549932861,29.97916620698824,-3175.1739285215044,-104555.3131385531,-77008.37919782453,196665.1008699083,-40709.072176863025,200834.890171318,-355898.2630256298,-50249.10869464262,221408.50545537326,-23660.7279267594,-18956.688431085935,129251.23172294674
8,0.348895660205206,81.24313110748473,29.97916620708104,8071.797610423782,-64355.8708883631,-42801.89717900758,-200721.58082420647,-19690.50986861333,-199295.26786345374,-318634.7500155021,-33754.07982999355,253302.85938854876,-23437.949793924497,-18307.814854534634,132862.74489543185
9,0.9849622323411313,78.79228176581309,29.562499494230767,-6470.061295091498,-122149.66059676786,-110881.80816366103,263094.38404208084,-112892.36814701145,631864.8816235173,-795578.7662961073,-39871.5874439801,595948.823684567,-47652.66312699392,-10699.432079576629,171207.999358345
10,1.0148439902933841,81.18271870180844,29.562499518139308,19025.483505899778,-40704.805704649465,-27645.806836319083,-272737.02130475675,-21639.236618512758,-616212.2822471032,-688335.0202052849,-22513.951996323995,661523.84316654,-45003.94177457811,-9359.149111743895,176499.82160428702
11,0.9847669841437682,78.77665793819278,29.687499292661315,-5877.299336391181,-117762.88227009424,-122491.77709846034,271399.4458809674,-80664.13853870875,466775.48914542067,-647889.7231364981,-48649.24248527872,450407.006916831,-38947.82873015372,-13404.568827827638,177211.07903577358
12,1.0150394999794508,81.19834251610811,29.68749931759121,28235.357772051073,-26414.803684985003,-7044.849983505645,-280816.6456994401,-4557.035529924942,-453405.2833135076,-528039.094301608,-16946.581718793703,539761.3801239622,-37444.69967617558,-12751.482891833868,182211.67925398092
13,0.9845717183793327,78.76103403337032,29.81249909851431,-2269.020740321739,-113857.75873224468,-116288.78499743415,279218.73963207024,-54904.30127440953,289381.34790361277,-496904.2371720247,-60160.40895274623,324649.0816547703,-32988.77981853897,-16944.254145285413,181691.4095301692
14,1.0152349850769051,81.21396616246157,29.81249912309182,30021.888962785404,-23127.00398444293,-9600.7829967598,-288672.23901633936,6665.166101347589,-278873.98929619376,-391899.1190719952,-22775.560904587557,411968.7819581653,-31679.06298524666,-16292.116399534832,186489.5349826237
15,0.9843764335651864,78.74541029626035,29.93749890878042,4767.054611851454,-109627.43678825647,-91185.29673635305,287272.4692209163,-30897.052213245748,101247.15347631159,-373406.46298361756,-73580.22945958015,250941.01353043967,-28319.638129499657,-21322.285886046873,185281.28721608553
16,1.01543031919114,81.22959002105199,29.937498934077702,24742.889162950483,-30022.411746963753,-34433.800141657324,-297012.2622130193,15540.141322012769,-93999.16002070287,-311020.6250772109,-42880.42253143294,314187.7248829733,-27085.522314762078,-20106.834602607458,189971.41581925788
17,1.648454598200709,78.82045977484171,29.27083244142436,1481.8235871365468,-159834.57247571458,-144083.35517776338,342776.53487883724,-106170.03738806312,490880.96935890696,-737093.0351476967,-54704.38617917942,489361.3172605348,-52555.102310653376,-6452.046937929837,245566.5847251772
18,1.6845525504405403,81.13787420927804,29.27083249892418,37288.60679457098,-17165.818402684563,-20506.69757720978,-366827.0217643296,20401.783484750966,-490998.4479700222,-594454.6688724378,-37915.95110723898,631986.7107943534,-59627.260705562105,-8900.8211562144,233008.4497657572
19,1.6480315539826906,78.79442147680962,29.47916551833923,438.6832572263993,-145156.3028993493,-157602.52657546045,360670.0235444573,-78516.13653482958,376559.0014853271,-648843.4160480495,-72665.99330144271,419189.26313190884,-43027.873398790245,-9557.239721725227,253765.54122971644
20,1.6849759606149188,81.16391250867385,29.479165581080355,49354.86169661052,10072.284004589394,9602.674467630695,-379987.1918648155,32913.54241083106,-361527.5582039215,-478466.81828294107,-23046.44915097638,570543.0876027482,-46435.22985300266,-11238.047852320387,242039.5847272008
21,1.6476085711563697,78.76838330936175,29.687498361431718,5203.6996038950565,-138686.41136835114,-146741.6402126966,375117.52370837965,-63750.80033279953,240238.49351674647,-555063.7761752129,-86090.54247356676,360929.96667162696,-37001.50947821008,-11349.93527521877,261427.86372583406
22,1.6853993618062857,81.18995054657104,29.687498438757675,51287.216558002634,14851.048876500752,6433.514662487297,-393252.2600868823,39578.804611350584,-221003.1024652912,-402525.9108041591,-25242.603993436325,500340.2948945862,-39253.94770929452,-12664.200326435122,249874.14893198726
23,1.6471855922959946,78.74234536695097,29.89583121574509,14149.270690737532,-138199.07064722656,-113442.38704722386,389682.6039843413,-49978.98165467118,89341.63734379518,-483758.624319226,-91909.90693289273,338176.34424840583,-31100.04686447096,-15912.256778376603,269505.1380499714
24,1.6858228519425962,81.21598860520048,29.895831314630176,43581.904715410965,1350.650995371793,-27814.435631485307,-408601.5867832744,43202.09156404094,-72277.2804703461,-387648.15289125644,-41109.42666399693,445875.6996345507,-34200.36873154501,-16972.602524265112,256856.6730731682
25,2.13844745296657,78.84776753990599,28.97916574546063,-83820.75845891418,-414260.7846119492,-245572.53064038052,796261.7361488689,-194358.0825589958,791985.3349804984,-1451915.1092007426,-134830.94728563013,843091.9827751287,-41544.24531337791,-1885.0001399452344,296582.8781324983
26,2.1943311784911246,81.09181789210479,28.979165767466753,13725.31921169884,-9475.577470324704,-9761.866187367179,-848462.5261054012,53167.78080389515,-828724.3413537698,-1157495.0425998128,-62775.07872508758,1214757.996878907,-68961.21718333586,-10323.275155604802,260001.66164218186
27,2.137503551064705,78.81132178710365,29.270831589946333,-83515.84366939783,-351755.29873986717,-291685.13148133236,867043.9845820746,-159274.0557645646,634632.0714367772,-1376115.0004413927,-160793.4861743352,809952.2127251305,-36908.5765593189,-3621.2281722996163,327948.73105563596
28,2.195275433700278,81.1282637743121,29.270831606987123,43966.39428441479,71762.85531776259,60499.09401012655,-885289.1136154567,92278.86995517691,-611259.337726543,-978411.143417079,-22112.870924829178,1176752.3579542118,-53862.38069258852,-13437.169633770889,278400.331327667
29,2.1365600794522734,78.7748763670639,29.562497653810606,-74004.41461431424,-327878.9750617199,-272340.3003987097,909691.4522044155,-151854.3347934084,411200.32643355767,-1270870.1595993256,-167194.76643094156,763841.235955523,-32340.50280403539,-2303.2030513510563,343052.041160855
30,2.196219767684764,81.1647092501687,29.5624977288178,48546.71879437057,85059.69201099529,61851.30062760397,-916696.5610824868,116494.97994008497,-370840.5696736629,-887942.1318059126,-15503.571744588353,1098903.4149834705,-45164.6788244991,-10468.350783464039,291744.5905351377
31,2.1356167383479865,78.73843109263203,29.85416371690927,-59786.18299293748,-336281.988201497,-208676.3613408527,945762.5502511105,-143743.21295166234,158268.2672418531,-1199336.73201878,-163888.65863663828,758480.8581201312,-26346.848730840855,-4849.032248512587,360523.50426945527
32,2.1971641290964063,81.20115452564676,29.854163876858934,30499.308374715358,48732.68949891116,-7983.62748193637,-951466.0701402774,131374.11895823551,-115381.9874366521,-912017.24019735,-37473.721699018555,1020739.3322880588,-36582.95074547994,-13023.732438197398,307311.7740528312
33,2.465631234758829,78.87397092914685,28.68749903827352,-72449.50838486708,-425506.9018716808,-235208.17929109847,692052.843735796,-161961.01067184279,523377.6594425099,-1188717.6771766301,-148387.83671818092,603940.9243471649,-23939.46413075968,-1543.807013176537,329699.25293982984
34,2.5334888201204935,81.04478383130437,28.68749886637224,12268.615447302971,24336.65507692946,-45763.95290649722,-916651.0718314637,59267.152310069316,-692838.1290116212,-1115315.7231237642,-77274.23053264499,1183431.2712741443,-62510.18302065383,-3496.842360462364,280125.5961515678
35,2.464166557704821,78.82711863781512,29.062498128519117,-69146.10055967308,-353416.8599235253,-285645.83851232124,822556.4315159563,-146355.58810999573,469635.17256794753,-1234549.3569588494,-176034.32706121367,702374.885024544,-27425.35431631377,4304.312086122657,392181.2967157279
36,2.534953986367668,81.09163652553869,29.06249794383872,49261.70551316801,119366.27002830095,33687.47170630156,-992107.6268230615,100941.00729090105,-530060.986722026,-1010299.3139816406,-31168.28323028647,1243783.0444596973,-45963.89100894451,-7558.331859608004,317875.1277084749
37,2.462702589838608,78.78026652524703,29.43749708438782,-55921.61689060078,-315747.9016267261,-263136.54145837645,878633.8092393047,-144073.50102029074,315559.21205490036,-1183336.9804205587,-176289.54806722485,724820.4685120805,-25710.94944928428,10090.634000729136,418908.94799040235
38,2.5364192749212373,81.13848885682246,29.43749704974956,55997.73041154562,132351.78640384966,44822.988400916714,-1035294.7636970488,129310.78923024544,-320377.5951353553,-962520.2245920703,-20123.201290950925,1215815.9310993333,-37383.58915917774,-2906.647969824037,334669.2545369195
39,2.461238815632815,78.73341453183164,29.812495982338852,-43388.773377650024,-320480.0110035528,-213472.50903020197,910387.0017508314,-133586.8821244678,131838.64713390375,-1140621.466576162,-175833.23629366347,739113.4094584207,-25854.990076389757,11941.839180110748,441314.53471003263
40,2.537884723119496,81.18534091299507,29.812496168649133,39380.18713950394,91361.06053947486,-17369.618138237372,-1069579.4414680696,143705.31403952994,-88827.46839055838,-1005912.6376575046,-39116.5457653263,1158400.8129635723,-28513.481408155352,-1192.9102836104075,354312.03629125573
41,2.7967218889194143,78.90010708052239,28.395832431489353,-65054.17525252117,-435804.1666604934,-267872.3527520344,448355.55435931194,-153009.91830531796,268745.4516878747,-867068.2991666174,-177313.03937369393,275650.6438752626,4169.942722049394,23542.32383934205,428536.3146599843
42,2.8687408004890766,80.99781767192587,28.39583179826913,15186.396097624023,54048.03564409251,-83702.92699374733,-818879.9216348369,49946.69295090892,-493199.3255001745,-918687.4179008234,-91017.89052683309,995236.8131756259,-53312.61999388597,7374.853028216568,318026.8150968938
43,2.7947365616961495,78.84285020272546,28.85416468638434,-61371.20670984356,-383920.74825095996,-308276.36128469504,670750.504464637,-152946.55535159376,316965.6111465462,-1050272.2526857585,-202817.24778001572,499521.18422027567,-8805.420549019955,35068.33165116766,515180.22140923294
44,2.870726912364627,81.05507528188154,28.854164012589493,49959.646639285136,141380.7447957994,-15471.883496490671,-946519.6234904537,80839.26421486818,-406956.9211898604,-919442.6919841587,-49668.56842642688,1144979.76834918,-35306.982049768965,3918.0667015790914,358074.98376557545
