element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.3179100240901997,78.76415974332338,29.85416637584331,1291.7123629411508,-158704.54433462478,-87176.78730681344,300658.0231747831,-425175.90741611307,2128665.780297885,-2295841.8254578616,-38060.1066719793,2089312.3128513438,-42750.35186913341,-6919.767666177727,202562.88750556394
2,0.3487032959359958,81.22750682970437,29.85416638397606,7253.80039760983,-111583.97523925212,-72623.43384479094,-309672.9217618474,-274523.3048089458,-2162089.6055577616,-2273969.7231048383,-33130.70463885809,2130146.8190572634,-43155.75408893215,-6723.903993867509,204854.62092191266
3,0.31784491355795197,78.75895183989306,29.89583280737554,-4550.46357282572,-162715.60813177674,-115735.04688435083,302813.9082182809,-298319.9066315191,1533935.0853597512,-1711665.2258661673,-46210.19284628023,1474874.3001234941,-39396.508848499965,-14129.939115904675,204277.3255393615
4,0.3487684367404319,81.23271473330135,29.89583281530593,15133.968566072155,-101685.37682045472,-46612.19269583441,-311774.86530264316,-188780.71990193913,-1557311.4471229753,-1653802.973928769,-26327.20438124379,1546966.5773597956,-38905.771520133974,-13418.756362855049,206075.5192405709
5,0.31777980230498326,78.75374382504715,29.937499487396924,-5134.662130893514,-162588.8286239385,-121722.75893275626,305146.72723664023,-178498.71390775868,928180.5904383227,-1114783.9416012182,-51515.69797203975,876853.3898856697,-34760.42935200919,-19240.6521777918,205424.4752121061
6,0.34883357458301467,81.23792262340031,29.93749949585258,17290.992411174735,-98547.99392256996,-41599.019657758196,-314149.23033777997,-109478.17924805294,-942482.7914421912,-1049161.931667909,-26682.287880145042,952988.1983789004,-34361.19967219694,-18704.335981324213,207002.86028569133
7,0.3177146894218746,78.74853582286141,29.979166167578164,-493.1680461164651,-158197.31292209256,-104946.7546869948,307695.2956236481,-61936.252443854966,312176.9448975775,-546554.4272541481,-69765.8372453278,352683.0288442722,-29839.284885031455,-22975.544407931873,206415.8811791651
8,0.3488985840855295,81.24313062597466,29.979166176521694,13208.404093117624,-102544.60821463243,-59459.583376310155,-316805.5258786804,-33260.79164395364,-317471.75511556346,-504093.52169036644,-47648.10987512945,402945.844067671,-29788.347287664412,-22787.97274837433,207722.37011044257
9,0.9849667026038513,78.79228207343382,29.56249947451095,4657.366658184896,-173833.55037064425,-131413.61828506517,412658.64834824874,-167230.5782973949,983639.4598661279,-1209381.8076144936,-47377.42654180218,956169.4321587711,-64204.811369711155,-9728.780269625024,278113.3516211306
10,1.0148481990287714,81.18271821774223,29.56249953999732,25431.64001334529,-77562.17591969072,-51630.54920467159,-434574.0803726131,-47279.860243654955,-987668.3085601551,-1114083.8406012661,-38404.139253355264,1048726.8947436046,-63395.470993607356,-7166.10341162428,274674.18676364736
11,0.9847714829695553,78.77665819350244,29.687499195256926,3919.639467302397,-167208.4121318138,-153760.9587221417,424787.4910575836,-117093.94589764434,724538.296325668,-980367.9640395974,-61228.8196190382,724547.0522719824,-50726.493404028326,-13328.188446772454,286746.6153842084
12,1.0150437509649606,81.1983420759625,29.687499275019697,40456.059786928075,-53588.44065382079,-15736.702246456993,-445950.26444926584,-17339.881656032365,-725308.1274409734,-853380.5299502171,-27674.12601352616,852185.5728503935,-52247.529457197066,-13003.132365404586,282328.5839718241
13,0.9845762412435811,78.76103426176665,29.812498926476408,6953.781102906803,-162348.70074213264,-152469.02301697322,435870.59798969486,-77784.30635450281,447437.0106701923,-750341.8511922549,-79770.1197738028,522248.02830985864,-42489.19682735545,-18407.388215634808,292998.33390654536
14,1.0152392618216224,81.21396574094584,29.812499016891863,44218.51562890049,-46392.17666128314,-14427.292511511212,-457067.2516062321,3132.6907375984624,-446202.0953083626,-631713.7470928006,-33108.18715570891,648220.9807046156,-44300.04161362489,-18207.10191594371,287943.2835956768
15,0.9843809777080833,78.74541051980546,29.93749866154893,14847.112887911077,-157583.9333458208,-124558.81639476409,447077.14815732103,-41896.73455004195,154978.3400054563,-566328.314991583,-101912.77338116676,400945.45152007596,-37208.11168504841,-24245.210240917022,297816.46332251147
16,1.015434605269213,81.22958959611181,29.93749876551159,37220.962517844455,-54770.12313257184,-46746.270931226434,-469157.34482163744,19704.442284508943,-152427.83178700198,-497915.92801040754,-58960.478767050634,492580.97523150436,-39861.05909750214,-21926.52333305377,292489.89556346124
17,1.648461352804134,78.82046020855071,29.270832345404106,29521.650256454348,-217654.71333566267,-172748.20758761093,531345.9750382096,-147243.87936699635,744095.2410369007,-1083184.4889962468,-62706.5654394014,785009.783768829,-56928.83457330048,75.36248129342475,414936.0463022581
18,1.684558297589057,81.13787372912972,29.270832451925273,47114.86043333361,-59214.253472646866,-47358.729828545926,-595494.1006963919,13192.220203540099,-803654.8790129628,-997076.6496605477,-67632.59616864484,1005251.1229613333,-93041.7702888901,-4720.844528411555,355436.1621383668
19,1.648038245652655,78.7944218277321,29.479165255927615,23898.325859645476,-192312.82498549006,-199415.80803893233,559424.1662014052,-102924.44253806627,572875.7018648542,-954286.2107595669,-92884.33655295528,679340.2401477452,-46740.190695961166,-6207.867392883806,424414.8988485631
20,1.6849818021526262,81.16391218079197,29.479165399472947,66314.75779446078,-16188.686568594043,2717.2806185455574,-610432.0524892586,34983.5169656777,-588811.323532926,-801326.1640988119,-41338.408517686825,895507.924460911,-71388.84520146882,-10063.06141905546,364978.79138689995
