element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.31790801606252006,78.76415951504836,29.854166367828455,-3687.6397489911506,-125236.06116454415,-82898.28954133125,228018.0495996367,-324579.0091478891,1616726.2702529985,-1754664.2749592224,-33512.74166747695,1576355.0261718328,-35836.51352361584,-8729.303006645952,152161.67605753764
2,0.3487013438240486,81.22750716306884,29.854166372014518,6828.718828981553,-81987.57266188119,-50858.06394331473,-233758.00631233232,-203366.10082926942,-1630005.8587451465,-1710858.6942514032,-23757.795710964187,1608599.5721861527,-35783.161667472115,-8318.400772216151,155417.32805902508
3,0.31784290578944246,78.75895161898885,29.895832810246024,-7264.145563936196,-127547.71940216207,-101541.1632397318,229747.13263236414,-228007.49747206827,1165538.8654277099,-1309488.4583979305,-39004.16107621713,1112139.591268317,-33083.524687717225,-13900.187027963651,153342.9710648229
4,0.34876648470059624,81.23271505936394,29.895832813796396,12368.876155549882,-75049.00376111052,-33285.75049699911,-235442.84554748362,-139680.6377257139,-1174259.606507668,-1244885.417877126,-19175.13486016859,1168094.674634735,-32489.809904792313,-13219.328970986422,156400.22206881345
5,0.3177777945392544,78.75374360825688,29.937499501873905,-6797.161221323597,-126651.8864980455,-102754.79893041133,231621.49301712372,-136703.5375191381,705796.6260534506,-854189.8602772849,-42448.50868320902,660434.5223107134,-29394.761786733325,-17706.43153547921,154196.39856949128
6,0.3488316233693709,81.23792294543522,29.93749950519403,13466.993361742778,-73336.13753059579,-32040.52204279493,-237323.10018831893,-80810.31293654133,-710503.451380655,-790453.7084577102,-20270.00578665908,718814.0480327215,-28867.68800897368,-17132.511789578442,157177.44995254144
7,0.3177126818227397,78.74853560714435,29.979166193853473,-2281.417835872904,-122432.82661783736,-86319.39196484939,233667.42430463366,-47783.51665165483,237941.1740646518,-419425.83444030076,-56760.13503444191,265152.33305618295,-25223.62529799663,-20791.698378220583,154967.16321708902
8,0.3488966346284374,81.24313094700801,29.979166196896927,9783.730027271049,-77082.3229598407,-48353.086890992185,-239408.58217051296,-24212.787289716394,-238679.59386658133,-380440.1882213891,-38376.88888652917,303165.39728435635,-24875.361760703443,-20479.839211001246,157810.7062361731
9,0.9849637221404748,78.79228186832461,29.56249948765537,-2761.4442974802914,-139374.6009848975,-117724.103474675,312938.32883605355,-131001.91768144125,749097.3842559586,-933461.6111274275,-42375.617886672524,715977.0802570471,-53104.55277815033,-10433.752585017057,206829.7045458216
10,1.014845392904408,81.18271854047923,29.562499525425565,21160.602011296793,-52987.178756580535,-35637.99054416873,-326672.3555805743,-30183.667069626717,-740007.1260302303,-830213.7391570747,-27801.618622520527,790550.7904901428,-50962.07985609828,-8798.974737389684,209216.82323129853
11,0.9847684834610435,78.77665802327033,29.687499260195416,-2612.117208052223,-134241.8919333532,-132912.38559448422,322517.7515651324,-92805.27291388837,552677.6616976968,-758666.8147195438,-52848.03912305042,541748.4591067045,-42775.16655152211,-13471.809299324052,213710.80857505582
12,1.0150409166712486,81.19834236941563,29.687499303406028,32308.25638590011,-35469.89572444315,-9940.5544548444,-335850.5850467852,-8816.521839725501,-544022.0519055563,-636458.418503231,-20512.812127281155,643869.0368371246,-42168.34506496402,-13045.056362024281,215576.50418731716
13,0.9845732257073767,78.76103410947808,29.81249904117495,804.7437226369257,-130018.72328575898,-128346.26448417112,331424.75183857116,-62529.56591561199,342055.0816174617,-581339.6065292084,-66708.20471885352,390487.56720076874,-36029.08893231386,-17554.72746730138,218783.95524883267
14,1.0152364103530411,81.21396602197733,29.812499087702093,34753.25891488137,-30879.54001811025,-11208.473324856925,-344793.0840196068,5488.358604537705,-334639.2509121556,-471818.01074738253,-26209.55112093408,490692.80744023074,-35602.32043146735,-17213.379475511327,220299.99078545428
15,0.9843779479851873,78.74541037075083,29.93749882638087,8126.424376906751,-125610.39255903516,-102307.72636963202,340529.15786321525,-34562.79661534849,119153.64765891436,-437679.666488757,-83038.27594969604,300926.2478866926,-31126.328789269446,-22450.767226927972,222784.94052693358
16,1.0154317475767982,81.22958987942606,29.93749887790425,28901.456540103936,-38269.05546487587,-38536.52978792488,-354382.90058897936,16928.22921367051,-113471.66290664473,-373301.1089423038,-48238.4797713664,373635.4600009734,-31040.631178332427,-21015.97020378986,224136.67836364795
17,1.6484568493451857,78.8204599193793,29.270832409422198,10827.906043782335,-179104.1302099522,-153635.5969936118,405617.3043360853,-119858.18968495337,575263.1211548952,-852387.0307054932,-57385.92903204655,587861.138577758,-53908.6661855973,-4348.039501661554,301983.58739827713
18,1.6845544657079998,81.13787404926194,29.270832483265856,40562.47448382293,-31178.378460446,-29454.953580884852,-443036.3339802231,18000.001020034222,-595198.661660697,-728611.9324836282,-47803.89876482959,756344.97369095,-70535.37426245914,-7737.158652351289,273806.64793428936
19,1.6480337841413468,78.79442159376265,29.479165430882865,8258.006232400097,-160872.0134899735,-171536.9887236586,426905.546245539,-86650.1417595501,441981.56205257436,-750587.9840251469,-79420.32012945281,505857.3081733677,-44190.828149356326,-8505.559461983186,310631.76053204807
20,1.6849779073464957,81.16391239940732,29.47916552056385,55006.40157705398,1320.9872615169024,7308.868101712376,-456788.51133200986,33604.05929780299,-437275.23334496777,-586044.6081571773,-29122.26743103971,678803.1325285003,-54497.25750467025,-11101.614303562395,283007.96862811066
21,1.6476108079381864,78.76838341867412,29.687498215075614,12682.365927179962,-152651.3373134945,-161777.204253996,443353.23300568917,-69466.34407495339,281256.2148809106,-641556.7206980026,-95885.95102463907,435696.49608233117,-38345.0901402793,-10862.326204046005,318514.42367986275
