element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.31790700848835773,78.76415940049701,29.854166363799067,-6184.714168870574,-108439.73735887409,-80748.42851017456,191563.2794432623,-274096.5791607684,1359805.058969092,-1483082.2056184434,-31229.66530969541,1318938.9908902193,-32576.75384325963,-9427.656980436306,126874.64598594523
2,0.3487003641619898,81.22750733035917,29.854166366014674,6615.741208469135,-67134.7343704996,-39930.79961987891,-195665.76022343477,-167658.70025332994,-1363020.6510307214,-1428305.1334546146,-19054.57741282019,1346909.918085525,-32333.026631367833,-8870.45115110047,130607.51085069784
3,0.3178418983463539,78.75895150813608,29.89583281167789,-8624.551504725343,-109898.9707156822,-94416.80552490319,193078.20412432394,-192722.80085746074,980656.9186624029,-1107665.888729195,-35386.942461197264,930112.5034450815,-30152.712140804528,-13548.16484505412,127787.97636780357
4,0.34876550507563425,81.23271522298964,29.895832813042137,10981.639298536858,-61681.54662029613,-26593.449422089936,-197141.32258316773,-115041.57900115546,-982054.9036192164,-1039701.1208690854,-15586.74162585035,977994.5057510865,-29592.74510689649,-12797.637350931169,131470.2462174591
5,0.3177767871000013,78.75374349946827,29.937499509128536,-7630.1472708222245,-108617.40900369578,-93235.3936803371,194722.46185462194,-115729.54410358281,594192.3379160698,-723422.0883463139,-37896.46849154282,551835.6068830019,-27042.724878139612,-16596.234958465593,128493.96414180537
6,0.3488306441588261,81.23792310703934,29.937499509886038,11548.10971415506,-60683.75760147479,-27240.07065178377,-198773.712907062,-66424.25815479236,-594103.1142836624,-660640.4717009347,-17054.280482821356,601319.0336446526,-26583.602970654716,-15872.033171071607,132171.65847300662
7,0.3177116744705276,78.74853549889394,29.979166207027166,-3177.661387042477,-104485.16880063234,-76972.0192260839,196516.07809995103,-40681.15178880388,200686.51757558552,-355644.0081979773,-50223.862380963736,221233.02116518238,-23655.896550205223,-18947.149110583265,129154.11066182639
8,0.3488956562983055,81.24313110810904,29.979166207127047,8064.733286193878,-64304.72544434892,-42777.64173883296,-200572.88144114686,-19672.131511690597,-199144.55737335823,-318395.8280944556,-33734.78758589279,253112.98178336033,-23433.344722343034,-18299.096375233756,132761.24650178567
9,0.9849622267488778,78.79228176551585,29.56249949420496,-6477.191562636017,-122072.38246005148,-110848.54647807407,262888.18474272924,-112813.5558448018,631374.5672846383,-794995.4314083415,-39857.58914828859,595454.9000558687,-47629.33732692577,-10700.811342507395,171080.07850698446
10,1.0148439845607162,81.18271870256156,29.5624995181328,19015.598103047818,-40660.02241599937,-27601.97456741891,-272533.4218926226,-21609.938744260573,-615746.9338723292,-687797.6369774397,-22490.93305474097,661042.1711518103,-44983.14666385566,-9360.9585997572,176360.79582856555
11,0.9847669784980587,78.77665793795894,29.687499292720872,-5882.865608214448,-117688.51193281717,-122442.53350666708,271188.641001041,-80610.45255555632,466417.6294637546,-647421.0872164136,-48628.42102747485,450035.59719618974,-38929.62825454672,-13403.02656122887,177079.9811181263
12,1.015039494196629,81.19834251679885,29.68749931768108,28217.801480260787,-26382.585784455085,-7022.218054452214,-280608.33188509196,-4542.304650912365,-453063.96637072455,-527627.8604578951,-16930.127860872875,539370.9859601215,-37429.587212903905,-12751.027974835875,182069.05790645716
13,0.9845717126972328,78.76103403316479,29.81249909865843,-2274.8281707771166,-113785.51827945263,-116235.48407400204,279003.4951150646,-54869.893037148446,289162.87952785834,-496548.0151932285,-60131.702719551395,324383.887388548,-32974.125249378565,-16939.84479789108,181558.10607968955
14,1.0152349792564372,81.21396616312177,29.812499123276268,30001.195497552508,-23100.180136387942,-9585.567659510918,-288459.6027857839,6669.71201699998,-278664.47899860435,-391597.2981101674,-22759.195197429763,411671.9410092509,-31667.050996959777,-16289.37876495668,186344.42686735536
15,0.9843764278647017,78.74541029605243,29.937498909008713,4758.852702454402,-109557.21540339598,-91140.70307436177,287052.30278653617,-30879.45636255792,101174.13921464309,-373135.8997023808,-73543.25391648522,250740.0878435627,-28306.378859760123,-21316.078503695986,185146.27511707315
16,1.01543031334447,81.22959002170904,29.937498934357315,24723.34570440711,-29994.376718732914,-34412.30269622331,-296795.1387665851,15536.356354920455,-93927.42384253349,-310788.17990675604,-42855.941163566866,313960.7873597739,-27074.079232072952,-20102.790163154223,189824.48181259522
17,1.6484545903906815,78.8204597747289,29.270832441521108,1473.1875267703217,-159724.66071433277,-144029.48653273535,342487.2416796639,-106092.57322119885,490468.1876306614,-736513.0584483014,-54686.05073130464,488918.1494593083,-52520.02220495529,-6459.598899071767,245392.08351422052
18,1.6845525420926373,81.137874210396,29.270832499037354,37254.96715621126,-17137.00381421858,-20471.677089560344,-366560.14024413604,20405.228656470415,-490626.9655562723,-593995.159484227,-37888.42303906051,631529.8687757197,-59611.58616014603,-8905.225860898998,232806.47359173954
19,1.6480315460762611,78.79442147688573,29.47916551862137,431.55248349873,-145058.5749579788,-157534.08702766473,360375.1505002038,-78463.88705286209,376256.4517481714,-648351.9773316521,-72634.4139783283,418825.2818078356,-43002.644911613745,-9558.565788832215,253590.6672497362
20,1.684975952249768,81.16391250966159,29.479165581406086,49315.76457758672,10077.556872143434,9616.202734010387,-379711.30722008616,32906.49060672941,-361256.858271295,-478098.73499327217,-23029.764375035575,570138.0235520483,-46423.4245993453,-11240.371463455962,241833.7546848532
21,1.6476085631544735,78.76838330951162,29.68749836189168,5196.329862235831,-138592.67890580746,-146671.10376175502,374816.6500284104,-63711.94286968558,240052.29656445704,-554647.8790913466,-86047.58696707131,360628.01325309137,-36981.16767576059,-11347.985888110552,261252.03346156777
22,1.6853993533682514,81.1899505475192,29.68749843929884,51246.453264610376,14847.554550348836,6442.576688613482,-392969.4480315901,39565.92752467318,-220838.6060923755,-402225.26174641977,-25225.1206214462,499986.96687143866,-39242.913689169014,-12665.39073477911,249665.46286275916
23,1.647185584217439,78.7423453670877,29.89583121637827,14139.041375397872,-138105.66737116172,-113384.95230848061,389373.71044851176,-49950.83277196102,89278.22574180036,-483392.2231875658,-91861.43772523114,337902.08260855253,-31082.457717556743,-15907.253728519541,269327.5218327276
24,1.685822843417312,81.21598860616359,29.89583131539294,43544.096157672015,1350.2503157784638,-27793.432656640896,-408311.55600258865,43185.84064148005,-72222.62965773286,-387374.6582685918,-41082.90766522996,445558.4797506314,-34188.627996914314,-16972.24194913427,256645.46699933696
25,2.138447443172098,78.84776753994139,28.97916574567196,-83774.44087935102,-413965.09689083474,-245486.24278613675,795510.508204246,-194224.93973825924,791231.2081331337,-1450653.7736644421,-134773.1789323683,842201.1720404881,-41504.546651022516,-1900.8387492486097,296378.727718764
26,2.194331167240023,81.09181789365176,28.979165767605977,13711.635475234323,-9413.701367100946,-9719.221048895648,-847886.3123594639,53177.310359513736,-828128.9213923329,-1156643.1813548752,-62732.52885217186,1213954.4232662846,-68965.30044524885,-10336.54375383726,259747.19060627924
27,2.1375035411993215,78.81132178755443,29.270831590450953,-83470.11565979279,-351503.343211449,-291564.4541537213,866280.3915745458,-159180.51240332314,634080.7889122375,-1374996.6564142623,-160715.838499154,809174.5818884531,-36883.566072035625,-3623.9696955475997,327741.725261399
28,2.1952754226914246,81.12826377568925,29.270831607445487,43936.29543336205,71741.94186256404,60503.42550288794,-884676.6688893619,92253.83372122057,-610822.5848718475,-977693.6440761664,-22092.651391607782,1175967.9582665884,-53861.446868737075,-13445.38635781389,278129.22364800225
29,2.1365600694563422,78.77487636769608,29.562497654602364,-73956.49108362959,-327632.2325967583,-272205.11697062966,908916.8316856055,-151770.6289912604,410860.9273282655,-1269849.5660396146,-167101.4733839372,763157.1987725344,-32321.948522422666,-2302.657011044013,342844.95553665515
30,2.196219756629995,81.16470925153683,29.562497729669282,48510.580211549925,85005.43621656964,61848.21368536493,-916067.9919236236,116455.00377444562,-370577.6091165109,-887318.2329449079,-15484.725979308432,1098167.1890377006,-45162.521133408874,-10474.583872354764,291466.939435367
31,2.1356167281881318,78.73843109327565,29.85416371798111,-59740.84645154986,-336026.1394547101,-208559.28143952996,944972.010222208,-143665.63403324145,158149.01560519295,-1198369.0821366874,-163789.6549541947,757832.4697450923,-26335.85906349292,-4842.513135069158,360312.61914444016
32,2.1971641178812895,81.20115452706602,29.854163878136664,30468.21841887349,48680.17156495172,-7962.904350282917,-950824.028604519,131329.0816406542,-115298.61178935252,-911417.6699756568,-37442.070528968674,1020045.2261381679,-36580.609367913836,-13027.503720075503,307028.5986320925
33,2.465631223572688,78.87397092938548,28.68749903857944,-72416.81316325291,-425236.11111394805,-235157.8235286765,691267.7251040499,-161871.89981941145,522761.3783818415,-1187563.6078709296,-148341.42905950703,603094.2891245591,-23898.4186071238,-1548.5084844772912,329514.6677616248
34,2.5334888059459595,81.04478383314745,28.68749886629016,12240.554175279758,24416.277225087222,-45741.14537976665,-916115.5262612103,59279.83282973846,-692385.2705856992,-1114594.777156406,-77244.08059439989,1182754.5437714062,-62543.126825246865,-3521.1776767297724,279828.6545263672
35,2.464166546413891,78.8271186387207,29.06249812924457,-69112.93151949733,-353177.02871064673,-285558.8657690589,821743.0866237406,-146292.05250387648,469179.0313994942,-1233471.7507750941,-175963.10634616332,701586.0311220548,-27404.942746088702,4313.816888246993,391980.0383549803
