element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.3179080199242313,78.76415951550699,29.85416636785249,-3679.4399538612415,-125302.62038920847,-82909.68154915946,228164.22682477886,-324776.4949670917,1617757.864310205,-1755755.1283832632,-33522.693600131024,1577386.0800911647,-35850.52798626675,-8726.355007359807,152257.8986870345
2,0.3487013477358491,81.22750716241883,29.85416637203522,6829.017813688031,-82047.60202053041,-50906.66876136337,-233904.062050238,-203507.81137632448,-1631028.512400756,-1711945.9744455921,-23777.562904730963,1609598.2843821174,-35796.036351480296,-8315.179789304819,155517.26659378537
3,0.31784290964953893,78.75895161943313,29.895832810249875,-7260.086097209478,-127617.20865119364,-101570.71271694174,229894.1285923306,-228145.38517882704,1166280.3168316323,-1310297.528142427,-39018.93084470497,1112868.451521787,-33095.49122210338,-13901.299706273838,153439.6511792324
4,0.34876648861124165,81.23271505872874,29.895832813795884,12373.789609292522,-75103.21296340523,-33317.5334908695,-235589.68692789407,-139778.63955784732,-1174995.48540617,-1245675.4612847706,-19190.535691782425,1168819.040131571,-32501.342208779577,-13219.955106109155,156500.9657185573
5,0.31777779839666653,78.75374360869336,29.93749950185659,-6795.082987297796,-126722.67254851507,-102793.02456056065,231769.43505152225,-136785.52747962112,706243.7097568971,-854713.2846387342,-42466.663016248494,660869.1675586095,-29404.588275438484,-17710.679530751197,154293.34632097237
6,0.34883162727857986,81.23792294480847,29.93749950517103,13474.291797320315,-73387.28573357739,-32063.735386607004,-237470.8177847432,-80867.73090327361,-710948.6941791539,-790953.7656313514,-20283.759927616135,719260.7962361035,-28877.265953594855,-17136.088313250933,157278.64546191297
7,0.3177126856760361,78.74853560757902,29.979166193814546,-2278.9303247881944,-122502.97083966929,-86355.7519029769,233816.4468317969,-47811.43703580969,238089.54666244503,-419680.16287117,-56785.33774542962,265327.84754916513,-25231.08159422601,-20798.61806211112,155064.28955657897
8,0.34889663853533803,81.2431309463837,29.97916619685092,9790.794383503624,-77133.46832934271,-48377.34231956059,-239557.2813178569,-24231.165653669013,-238830.30435059656,-380679.1173307293,-38396.21610171592,303355.31716704555,-24882.49179463468,-20486.032495696178,157912.20438209857
9,0.9849637277327284,78.79228186862186,29.562499487681176,-2754.313958111936,-139451.87897722816,-117757.3651128531,313144.5277090784,-131080.72990381246,749587.6978514425,-934045.0775068345,-42389.599555729365,716471.1190143705,-53128.45866716587,-10431.79716549685,206957.62994580113
10,1.0148453986370756,81.18271853972612,29.562499525432074,21170.48744294275,-53031.96199068981,-35681.82280958442,-326875.9545903864,-30212.964912991854,-740472.4736907029,-830751.1637697723,-27824.65989158667,791032.5263040275,-50983.56427379641,-8796.47352624147,209355.84729453345
11,0.984768489106753,78.77665802350418,29.687499260135855,-2606.5508646317758,-134316.26212460175,-132961.62911237677,322728.556002556,-92858.9588414744,553035.5209297393,-759135.5949640828,-52868.826354716715,542119.9792171892,-42794.14393890408,-13472.583392368804,213841.91541972623
12,1.01504092245407,81.1983423687249,29.687499303316155,32325.812691019484,-35502.11358386766,-9963.18641372313,-336058.89844247134,-8831.252713464999,-544363.368413803,-636869.6818779075,-20529.288985115247,644259.4835564517,-42184.34655032108,-13044.622674886545,215719.12616139516
13,0.9845732313894766,78.76103410968364,29.81249904103083,810.5512169925023,-130090.9635984533,-128399.56534761802,331639.9958988534,-62563.97412086633,342273.54986229894,-581695.9821058365,-66736.83861283891,390752.8429895964,-36044.79699603168,-17558.094965319804,218917.27028646838
14,1.0152364161735095,81.21396602131713,29.812499087517644,34773.95239052981,-30906.363826610257,-11223.688684435965,-345005.71981773776,5483.81267015665,-334848.7610774835,-472119.8518080925,-26225.93414253145,490989.68583010754,-35615.51174378125,-17214.939232710836,220445.10029481805
15,0.9843779536856719,78.74541037095875,29.93749882615258,8134.626334489014,-125680.61381733396,-102352.32002523715,340749.3238269461,-34580.39245789046,119226.66212970832,-437950.3621558873,-83075.14609315805,301127.2007409633,-31141.328025606053,-22455.24565242258,222919.96357914922
16,1.015431753423468,81.229589878769,29.937498877624638,28921.000017889884,-38297.0904433408,-38558.027208018284,-354600.02358995494,16932.014138184153,-113543.39927392815,-373533.5945762021,-48262.93418041624,373862.41112314916,-31053.555249035413,-21018.534413225625,224283.61310333852
17,1.6484568571552132,78.8204599194921,29.270832409325457,10836.5422291043,-179214.04170918465,-153689.46554696216,405906.59667036386,-119935.65376060113,575675.9019512535,-852967.2729930901,-57404.115478155436,588304.4234442032,-53944.50964444204,-4339.655143976017,302158.0194792405
18,1.684554474055903,81.13787404814397,29.27083248315268,40596.11415530713,-31207.193005529498,-29489.974096927566,-443303.21473497624,17996.55585471067,-595570.1432984796,-729071.5235290534,-47831.533601192634,756802.0041830961,-70551.82066438737,-7731.975098217063,274008.6175912544
19,1.6480337920477761,78.79442159368655,29.479165430600723,8265.13711143202,-160969.7412000038,-171605.42815990295,427200.4184233021,-86702.39116607244,442284.1112558098,-751079.7302005013,-79451.72557788537,506221.4235299118,-44216.85992865653,-8503.463228663388,310806.66737008584
20,1.6849779157116465,81.1639123984196,29.479165520238123,55045.49870874056,1315.7144198404276,7295.339779035814,-457064.39521601284,33611.11107811544,-437545.9328537574,-586412.7938012072,-29138.97088945594,679208.31759828,-54509.90478045432,-11098.46369325048,283213.8137791968
21,1.6476108159400829,78.76838341852425,29.68749821461565,12689.735752855464,-152745.06957052904,-161847.74062837363,443654.1058051739,-69505.20147087639,281442.411701848,-641972.9412967323,-95928.69356027487,435998.56041096017,-38366.141214700394,-10863.617520739264,318690.3047489795
22,1.6854013381259965,81.18995045729041,29.687498336063186,57559.8843380732,7490.442960253555,5777.459230334458,-471390.0936813235,42510.062871719565,-267466.6910705746,-491954.1275469281,-30161.875108803873,592943.7891843934,-46058.05417400477,-12972.694170218821,291232.71428021404
23,1.6471878548440646,78.74234547898578,29.895831006983876,21854.665519797694,-151990.11824214732,-127114.80042002484,459851.4480345129,-54283.88593844297,103853.2533749918,-560161.9081143572,-103954.51080319124,406866.165775174,-32756.686934317077,-15929.45269912032,327063.5011071289
24,1.685824839033456,81.2159885132791,29.89583117236346,48860.306236618504,-7394.958441751634,-31798.40675223902,-488542.50408140797,48093.99178709504,-88622.55576536297,-470179.6363120475,-47252.11918945219,527098.6965441274,-40801.27150319542,-17530.244774011902,298393.63890315493
25,2.1384505951915562,78.84776773055049,28.97916573584874,-84376.82437968784,-467023.8424107813,-262611.84676642483,930527.1274522129,-216377.394745535,915918.2055701453,-1666640.0020563398,-146500.41791814013,999127.9064175863,-35643.224207561245,2990.4131138908233,368871.90730554523
26,2.1943335236688046,81.09181772274178,28.97916572536885,3901.769285877288,-43592.385844769924,-34182.99236298999,-1040176.4698436289,47719.282075529845,-1016880.7700454373,-1448359.357451237,-86486.75217956633,1460972.5007089204,-86505.56296262602,-10300.156677421372,300819.49822028214
27,2.1375065629555947,78.81132197029166,29.270831503409685,-84503.40773690956,-385505.77207344817,-319456.43543022894,1017849.1855240283,-171911.28370095772,740007.5837797509,-1583200.0660857197,-178737.5251876988,972471.9760328318,-33116.79936710267,-411.4127387140754,408273.6977727892
28,2.195277828766966,81.12826373554178,29.270831494106236,40071.420375036025,49830.21794640584,51495.562135850545,-1075484.8712903706,93295.57325136762,-745868.6247295868,-1221267.4819455198,-36373.14746269703,1399037.8298655092,-66354.30507603067,-14947.725094459782,319349.7435030141
29,2.1365630719658744,78.77487656770249,29.562497456285794,-73165.30530546384,-350215.16866094957,-298735.58521199215,1066795.5194801055,-161399.62789178028,478505.89300854126,-1456472.1926383157,-186192.00955241927,920548.1430123292,-30026.877804901644,216.24286574748743,424847.20518830186
30,2.1962221957067922,81.16470927448808,29.562497554253238,46204.46329251313,63794.476781863006,59299.48607999591,-1107196.1458663836,123623.8963986571,-451509.0807164876,-1102287.5248764164,-26125.093478409723,1297711.0445091985,-55311.05237317343,-11605.153867204554,332888.0187529236
31,2.1356197528270466,78.73843131163368,29.854163394459285,-57578.23719560913,-354990.5084063263,-230631.23142728186,1106597.969198072,-152619.33569220328,182332.7058719854,-1371237.2998792022,-183433.28187120357,911470.6047211885,-25452.445988192754,-2588.7603289469885,442450.1356539295
32,2.197166583410733,81.20115456058127,29.854163645672728,26412.8035000692,22250.055845809627,-15302.776636233019,-1144329.8088568472,144907.376971668,-142353.56364401037,-1120003.9182800772,-49177.661345167406,1202541.6623348903,-44936.88230539183,-14543.705775734445,349303.8604286631
33,2.465635318435814,78.87397112501085,28.68749914984133,-73123.88034793416,-489735.31596709316,-263189.0993413789,785774.5320509184,-184542.80045246647,580555.8868229628,-1341282.5034085182,-166511.4034851039,681745.6112372153,-8614.922469288635,6378.9734827975735,418715.1565370996
34,2.5334913832544834,81.04478366426072,28.687498782149575,-1509.3556276443715,-3982.684931866781,-84978.38160005555,-1145316.5139616642,54361.3229402294,-865020.5632192087,-1426840.294821436,-107816.13029917752,1444186.0029610468,-81710.88129148871,-2508.085317848913,321339.31070569344
35,2.464170371141744,78.82711891987034,29.06249814516705,-68049.43098760597,-389698.66819521727,-323444.7230912332,950702.3966986857,-161135.839668569,537035.2690784263,-1405561.9125563647,-201139.41093544534,825508.5012177533,-18139.361168742766,12228.83872118468,499445.72737330035
36,2.5349566530602745,81.0916365970971,29.062497759217827,41727.579136060944,97401.43174315503,12099.032099695843,-1220572.2151779768,98401.61461097501,-655963.4162676518,-1286037.1838875415,-50832.180833177874,1488097.4076996313,-58485.822723584795,-9491.608243739023,358435.4299039361
37,2.4627063479351476,78.78026689865304,29.43749691747328,-49945.594755077764,-331053.32480136596,-293185.96590030566,1016613.3090208226,-153295.17572369523,361018.834127428,-1337490.8995245476,-199314.40984986766,862620.423917666,-20033.009167178832,18046.606592924407,530597.6591988697
38,2.5364219939008814,81.13848906933359,29.43749678656194,49503.759005919375,103892.71280799631,33301.805774894,-1262885.854244806,132561.1038215488,-395342.5350791057,-1216608.0038249663,-35599.09827958364,1438905.37969336,-46956.908775447795,-4599.792340016394,373798.4483034164
39,2.4612425853850115,78.73341496643714,29.81249559201445,-34978.943345913765,-326238.8391307062,-237157.11757045978,1052984.9982907681,-139090.04197781728,148070.95022977507,-1282703.6665009346,-198443.64672902162,882772.4131828765,-24430.929251820922,19504.62525049095,551703.9301576486
40,2.537887503358878,81.18534118058352,29.81249583485009,31240.741962974636,52869.88330971573,-29943.364090019622,-1296805.4371928023,154447.28700308333,-112188.81061301916,-1255493.7560447569,-54777.313823098666,1364438.3310505261,-33897.43643006089,-3667.937145329498,394501.1606919005
41,2.7967272665239946,78.90010731975674,28.395832780721033,-73597.11502021152,-536745.3243553776,-328641.26727062836,454045.8092685919,-192557.81268351676,254617.63386861447,-957885.7036991911,-214073.04072396804,232975.0377769418,31842.85634047828,37802.589527948985,554178.8012049746
42,2.86874347069922,80.99781755503892,28.395831600432825,1610.1953688515787,50894.99386316182,-134916.03270733746,-1057929.2763059444,45241.181892184504,-637286.9614327168,-1215377.569307653,-125122.51146095616,1258089.2372932849,-73018.98810180361,4792.216385012619,352556.36892202374
43,2.7947415550428722,78.8428507268519,28.854164930681044,-67084.31805489765,-458092.49915286043,-375977.02465973195,737415.6903349693,-187501.0325333855,342637.44373640296,-1186175.3224907906,-245274.74129739017,530296.2219206912,7492.382786088478,50492.12748401498,669364.1438843873
44,2.870729775730472,81.05507556184048,28.854163664901456,41892.235303098234,137787.5448104612,-48638.94902127687,-1191366.8435804984,71892.3421101154,-517317.83412723424,-1199029.3277097943,-71569.93163121332,1401640.0904332902,-45612.906854208595,-2442.3037848967692,387782.8309002663
