station,x,y,z_base,z_crest
0.0,0.0,80.0,30.0,30.0
0.5,0.4999479182942467,79.99375032551406,29.75,30.0
1.0,0.9998958365884933,79.98750065102811,29.5,30.0
1.5,1.4998437548827401,79.98125097654216,29.25,30.0
2.0,1.9997916731769867,79.97500130205621,29.0,30.0
2.5,2.499544298806904,79.95937894677206,28.5,30.0
3.0,2.999296924436821,79.9437565914879,28.0,30.0
3.5,3.4988152330455438,79.9218887115426,27.5,30.0
4.0,3.9983335416542665,79.9000208315973,27.0,30.0
4.5,4.497539484522341,79.87191084380262,26.5,30.0
5.0,4.996745427390416,79.84380085600793,26.0,30.0
5.5,5.495326852318556,79.80633697801116,25.75,30.0
6.0,5.993908277246696,79.7688731000144,25.5,30.0
6.5,6.4924897021748365,79.73140922201765,25.25,30.0
7.0,6.991071127102976,79.69394534402088,25.0,30.0
7.5,7.488872229424614,79.64713928313147,24.5,30.0
8.0,7.986673331746252,79.60033322224206,24.0,30.0
8.5,8.48385048333827,79.54730846629289,23.5,30.0
9.0,8.981027634930287,79.49428371034371,23.0,30.0
9.5,9.477503152874252,79.43504854434502,22.5,30.0
10.0,9.973978670818216,79.37581337834632,22.0,30.0
10.5,10.469674981824525,79.31037705767227,21.5,30.0
11.0,10.965371292830834,79.24494073699823,21.0,30.0
11.5,11.459743957276029,79.17022361655525,20.75,30.0
12.0,11.954116621721221,79.09550649611225,20.5,30.0
12.5,12.448489286166414,79.02078937566927,20.25,30.0
13.0,12.942861950611608,78.94607225522628,20.0,30.0
13.5,13.435756479049642,78.86209768381048,19.5,30.0
14.0,13.928651007487677,78.77812311239468,19.0,30.0
14.5,14.419874871516981,78.68492389112085,18.75,30.0
15.0,14.911098735546286,78.591724669847,18.5,30.0
15.5,15.402322599575593,78.49852544857316,18.25,30.0
16.0,15.893546463604897,78.40532622729933,18.0,30.0
16.5,16.38294615776675,78.30293148054488,17.5,30.0
17.0,16.8723458519286,78.20053673379044,17.0,30.0
17.5,17.36042741123412,78.09203264965296,16.5,30.0
18.0,17.848508970539637,77.98352856551547,16.0,30.0
18.5,18.333700421376967,77.86286390402495,15.833333333333334,30.0
19.0,18.8188918722143,77.74219924253443,15.666666666666666,30.0
19.5,19.304083323051636,77.6215345810439,15.5,30.0
20.0,19.789274773888966,77.5008699195534,15.333333333333334,30.0
20.5,20.274466224726297,77.38020525806287,15.166666666666666,30.0
21.0,20.75965767556363,77.25954059657235,15.0,30.0
21.5,21.240857742897557,77.12377066383408,14.75,30.0
22.0,21.722057810231483,76.98800073109581,14.5,30.0
22.5,22.20325787756541,76.85223079835754,14.25,30.0
23.0,22.684457944899336,76.71646086561927,14.0,30.0
23.5,23.161165432176126,76.56572707354694,13.833333333333334,30.0
24.0,23.637872919452917,76.4149932814746,13.666666666666666,30.0
24.5,24.114580406729708,76.26425948940226,13.5,30.0
25.0,24.591287894006495,76.11352569732993,13.333333333333334,30.0
25.5,25.067995381283286,75.96279190525759,13.166666666666666,30.0
26.0,25.544702868560076,75.81205811318526,13.0,30.0
26.5,26.016483300529085,75.64649784183652,12.75,30.0
27.0,26.48826373249809,75.48093757048778,12.5,30.0
27.5,26.9600441644671,75.31537729913904,12.25,30.0
