element_id,centroid_x_m,centroid_y_m,centroid_z_m,sigma_xx_pa,sigma_yy_pa,sigma_zz_pa,tau_xy_pa,tau_yz_pa,tau_xz_pa,principal_min_pa,principal_mid_pa,principal_max_pa,affine_principal_min_pa,affine_principal_mid_pa,affine_principal_max_pa
1,0.3179090236366824,78.76415962959973,29.85416637185784,-1190.553764351207,-142032.35848226646,-85048.15172473047,264472.75972601795,-375061.37924098124,1873647.1179260123,-2026256.2796291881,-35795.78279290424,1833780.9984507447,-39255.864060864165,-7872.1582935743345,177450.29631645302
2,0.3487023234861074,81.2275069957785,29.85416637801436,7041.709351634465,-96840.38897142827,-61785.311672286596,-271850.1947079994,-239073.45934652415,-1896990.7059466261,-1993415.0690440526,-28461.979795040737,1870293.0575470133,-39421.83071702393,-7577.750035853221,180227.9025553052
3,0.317843913232531,78.75895172984161,29.89583280881416,-5903.725881982053,-145196.43855038483,-108665.51171044062,266416.000024563,-263292.1539951388,1350420.5716632914,-1511320.4126285142,-42621.076525148645,1294175.8130108553,-36193.59477883789,-14073.472007079892,178898.85538565164
4,0.34876746432555833,81.23271489573823,29.895832814550648,13756.122488951052,-88416.44158379573,-39978.04660207966,-273744.3101523711,-164319.66833062426,-1366464.0666204847,-1450071.4371666024,-22764.788196756155,1358197.859666434,-35630.063239967356,-13397.937645858623,181330.6739320334
5,0.3177788019785075,78.75374371704551,29.93749949461928,-5964.160799738089,-144686.33328375738,-112274.19137473789,268520.46220166975,-157677.5110924518,817400.7979739123,-984967.0337500905,-46999.39376182345,769041.7420536801,-32003.150378027625,-18560.842880735527,179899.49349501764
6,0.3488326025799158,81.23792278383114,29.937499500502025,15385.884999110094,-85988.49915804337,-36840.97314664416,-275872.42847557727,-95196.35420998473,-826903.6648089982,-920267.9936171705,-23487.956164862815,836312.3624764559,-31505.940469194098,-18038.977874140084,182183.4818334728
7,0.31771368917495185,78.74853571539474,29.97916618067978,-1385.161051286268,-140380.45458172436,-95666.75601456485,270818.70781191764,-54885.8823412634,275195.8407887149,-483220.9006458035,-63288.77222680416,309077.3012250321,-27360.66592865976,-22067.514179242364,180780.78780317248
8,0.34889761295856936,81.24313078590697,29.979166186666802,11502.735325163849,-89859.90139504147,-53928.52885199791,-278244.2233898164,-28753.44454708777,-278214.6274539686,-442486.1791999029,-43027.47768041035,353227.96195843775,-27083.989935524387,-21894.01833251976,182860.21665083407
9,0.9849652175320718,78.79228197113338,29.562499481105778,954.3177940320238,-156676.78620969865,-124599.65025778321,362988.36116298055,-149190.26275894904,866820.0111859418,-1071952.3051457698,-44890.65417242411,836520.8406447438,-58652.83162713737,-10101.12507598963,242586.93621854595
10,1.0148468012480993,81.18271837839691,29.562499532718324,23305.617143158364,-65314.31701837514,-43674.00393942462,-380811.18948752625,-38757.384429082376,-864267.1373377313,-972640.2476211605,-33120.9553339651,920078.4991404841,-57137.223337652234,-8041.30262592791,242073.5961962125
11,0.9847699884240282,78.77665810858173,29.68749922766996,658.646280190369,-150795.2380484802,-143382.2199084112,373846.74630155193,-105000.08175591109,638937.5816554333,-869941.0493512218,-57060.26103017492,633482.4987046954,-46731.58180325691,-13435.639428031544,250347.58249207746
12,1.015042339145868,81.19834222203242,29.687499289130976,36398.718526147946,-44557.19095745693,-12858.896466671446,-391092.73467716435,-13090.735519773094,-634980.0257215711,-745295.7025311928,-24105.17280285464,748383.5064360672,-47148.16142333559,-13098.136503949474,249084.1378659832
13,0.9845747387175208,78.76103418579137,29.812498983691473,3884.328998678604,-146251.89568977518,-140457.03035665373,383845.8891321579,-70189.23242857668,394947.25587843545,-666160.5955452216,-73270.44568611495,456606.44418358617,-39227.36979108305,-18029.473799844884,256012.94947647513
14,1.0152378414496455,81.2139658808329,29.812499052127922,39505.3286418239,-38658.88577084062,-12831.382733708573,-401126.4587086007,4307.001668869879,-390613.98513938574,-552042.2050972639,-29670.255268511395,569727.52050305,-39868.288110655674,-17806.693548464227,254255.57369406306
15,0.9843794681056727,78.74541044544924,29.93749874375303,11494.005677178095,-141663.54026187738,-113474.74866574582,394005.8899365603,-38246.13592041056,137133.21838023106,-502246.9153200258,-92515.52325765173,351118.1553272324,-34133.092069451784,-23399.80187352356,260424.72222071572
16,1.0154331818091262,81.2295897371431,29.93749882145118,33079.57560054275,-46543.717898638,-42660.748931080554,-411970.55311755603,18320.09175029172,-133015.94217375567,-435820.1335848294,-53621.36521020903,433316.6075658626,-35392.171126666246,-21544.157303688997,258448.89443942
17,1.6484591082996898,78.82046006402969,29.270832377323295,20182.639306026897,-198483.54967307576,-163241.69778897037,468747.13771922793,-133623.78901167822,660057.7910318328,-968305.4268716644,-60069.16459350905,686831.9833091543,-55409.18988844414,-2159.795966116946,358610.1050010117
18,1.6845563893233626,81.13787388812788,29.27083246749436,43870.008440950376,-45219.72587651932,-38438.22950065425,-519512.3517623231,15594.780784084429,-699770.1858368095,-863258.3531966194,-57737.558057201975,881207.9643175981,-81728.03075354264,-6300.273007097527,314807.22485173796
19,1.648036022206433,78.79442171063957,29.47916534314436,16084.46667420018,-176685.41606306695,-185539.87479098016,493435.7102435267,-94836.38367341313,507706.5147762172,-852874.2771126872,-86188.0207025097,592921.4736353501,-45457.915146300686,-7383.249103112325,367682.2490962981
20,1.6849798624432233,81.16391228915307,29.479165459721617,60697.06429452327,-7435.551937369222,5001.530018211844,-533865.5408914431,34301.62786948474,-513293.51531821594,-694016.0769369443,-35237.81284541577,787516.9321577259,-62870.399572473674,-10663.904777069927,324182.713216787
21,1.6476130527218997,78.76838352783663,29.68749806825955,20168.401810162242,-166709.97011339702,-176883.29631019454,511889.5805644787,-75220.73256724516,322460.0864394872,-728522.6534791808,-105694.94611063265,510792.7349763843,-39762.50152495474,-10331.500904757553,375784.91484834824
22,1.685403306007673,81.18995036895797,29.687498233909857,63791.81701939729,126.37832588028868,5130.47090451546,-549244.94073174,45428.4342502585,-313765.76603540865,-581109.7541452622,-35073.26337513464,685231.6837701899,-53161.40129521077,-12972.557926178335,332383.13498326764
23,1.6471901093135788,78.74234559115732,29.895830798855837,29549.824100403923,-165687.7439175654,-140729.79121511953,529711.1588278157,-58560.62712101315,118301.52536000576,-636252.9626102294,-115917.59244119615,475302.8440191444,-34428.00042217178,-15916.314417969279,384450.94964482775
24,1.685826817599031,81.2159884223208,29.895831030859515,54100.9318271937,-16140.926455604187,-35761.350304747495,-568193.2127283966,52969.620039681984,-104913.23903937395,-552486.516634571,-53338.02615906605,608023.1978604791,-47666.91142879328,-17811.218948768954,339719.6429702947
25,2.138453727622071,78.84776792123041,28.979165726448173,-84886.5346248373,-519491.03057368833,-279564.85875679983,1064040.690468907,-238263.50135395848,1039096.3277016078,-1880198.8624918466,-158060.96353971364,1154317.4020762348,-30069.773052833047,8180.474739199448,440993.3449895261
26,2.1943358575953846,81.09181755492574,28.979165683410184,-5935.380154213175,-77647.27239669634,-58561.444484453954,-1231313.8184444166,42280.32460026105,-1204441.515660453,-1738497.2750870625,-110159.98966597777,1706513.1677176768,-104432.37161250449,-9922.688923824428,341394.3146976262
27,2.1375095649811016,78.81132215393045,29.270831417377657,-85445.24707139937,-419004.196305362,-347107.03252939845,1167890.119740302,-184454.93027653976,844831.3495406068,-1789276.8428044044,-196586.75653552377,1134307.1234337685,-29309.27200765047,2800.242124014372,488395.79300536896
28,2.1952802128248012,81.1282636981486,29.270831381683713,36146.429998529,27876.743580021583,42496.37842482357,-1265067.8145067955,94287.24527429174,-880041.0100992791,-1463590.238067918,-50615.05678889909,1620724.8468601913,-79324.6181192302,-15993.464799273186,360034.78930717293
29,2.1365660544835454,78.7748767689733,29.562497259552742,-72278.30393853797,-372304.5911326374,-324995.67277400754,1223124.273206584,-170861.17826431405,545471.8267824043,-1641232.7742988234,-205052.6005360627,1076706.8069897033,-27718.898499802548,2743.0324355628236,506452.0970336556
30,2.196224612674052,81.16470930017557,29.56249738054015,43826.16222264239,42475.113382522075,56744.611610554595,-1297066.786014353,130712.82330416495,-531914.583749782,-1316236.3069158809,-36686.825538954894,1495969.019670555,-65914.72872632512,-12289.294454089271,373754.67574805615
