case_name,downstream_head_m,max_tension_mpa,max_compression_mpa
tailwater_0p0m,0.0,1.1465063524728807,-0.5573984468408009
tailwater_2p0m,2.0,1.1465063524728807,-0.5573984468408009
tailwater_5p0m,5.0,1.1465063524728807,-0.5573984468408009
tailwater_10p0m,10.0,1.1465063524728807,-0.5573984468408009
tailwater_15p0m,15.0,1.1465063524728807,-0.5573984468408009
tailwater_20p0m,20.0,1.1465063524728807,-0.5573984468408009
tailwater_29p0m,29.0,1.1465063524728807,-0.5573984468408009
